,Marital_status,Application_mode,Application_order,Course,Attendance,Previous_qualification,Previous_qualification.1,Nacionality,Mother_qualification,Father_qualification,Mother_occupation,Father_occupation,Admission_grade,Target,Educational_special_needs,Debtor,Tuition_fees,Gender,Scholarship_holder,Age_at_enrollment,International,Inflation_rate,GDP,Target_status
0,1,43,1,9003,1,1,120.0,1,1,1,4,10,134.4,0,0,0,1,1,0,24,0,2.8,-4.06,Dropout
1,1,17,1,9070,1,1,136.0,1,1,37,4,5,130.8,0,0,0,1,0,0,20,0,1.4,1.74,Enrolled
2,1,17,6,9773,1,1,131.0,1,34,34,0,0,129.3,0,0,0,1,1,0,18,0,2.6,0.32,Dropout
3,1,17,2,9773,1,1,126.0,1,37,38,5,5,129.5,1,0,1,0,0,0,18,0,1.4,1.74,Dropout
4,2,7,1,8014,0,3,120.0,1,38,1,9,9,120.0,0,0,0,0,0,0,35,0,1.4,1.74,Dropout
5,1,1,1,9773,1,1,150.0,1,19,11,0,0,131.1,1,0,0,1,1,0,19,0,2.6,0.32,Graduate
6,1,1,3,9500,1,1,134.0,1,1,37,8,7,120.5,1,0,0,1,1,1,18,0,2.8,-4.06,Graduate
7,1,1,2,9773,1,1,130.0,1,1,1,9,4,126.2,1,0,0,1,0,0,18,0,3.7,-1.7,Graduate
8,1,1,1,9147,1,1,128.0,1,38,37,5,6,122.1,0,0,0,1,0,1,18,0,-0.3,0.79,Enrolled
9,2,39,1,8014,0,1,133.1,1,34,34,90,90,116.0,0,0,0,0,0,0,51,0,1.4,1.74,Dropout
10,1,43,1,9853,1,1,115.0,1,3,37,2,5,108.7,1,0,0,1,0,0,21,0,-0.8,-3.12,Dropout
11,1,17,1,8014,0,1,125.0,1,37,37,5,6,122.2,1,0,1,1,0,0,19,0,1.4,1.74,Graduate
12,1,1,4,171,1,1,139.0,1,37,38,9,9,127.8,1,0,0,1,0,0,19,0,1.4,1.74,Dropout
13,1,39,1,9003,1,1,123.0,1,37,37,9,9,110.0,0,0,1,0,0,0,48,0,0.6,2.02,Dropout
14,1,1,1,9147,1,1,127.0,1,19,19,5,5,129.8,1,0,0,1,0,0,22,0,2.6,0.32,Dropout
15,1,1,6,9500,1,1,103.0,1,1,3,2,2,100.6,1,1,0,1,0,0,22,0,0.6,2.02,Graduate
16,2,39,1,8014,0,1,133.1,1,37,19,9,9,114.0,0,0,0,1,0,0,44,0,3.7,-1.7,Graduate
17,1,17,1,9254,1,1,126.0,1,37,37,5,1,126.0,0,0,0,0,1,0,29,0,-0.8,-3.12,Dropout
18,1,43,2,9147,1,1,130.0,1,34,37,9,9,118.5,1,0,0,1,1,0,23,0,2.6,0.32,Graduate
19,1,16,4,9254,1,1,126.0,1,38,37,9,7,118.7,1,0,0,1,0,1,21,0,1.4,3.51,Graduate
20,1,1,6,9500,1,1,149.0,1,1,1,4,9,133.0,1,0,0,1,0,1,18,0,3.7,-1.7,Graduate
21,1,17,3,9238,1,1,121.0,1,1,1,4,5,117.2,0,0,0,1,0,0,19,0,2.8,-4.06,Graduate
